"filename", "language", "HTML", "JavaScript", "JSON", "Markdown", "XML", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Thunder Flash\Desktop\DualRepo\server\controllers\product.controller.js", "JavaScript", 0, 414, 0, 0, 0, 0, 0, 46, 63, 523
"c:\Users\Thunder Flash\Desktop\DualRepo\server\controllers\reservation.controller.js", "JavaScript", 0, 290, 0, 0, 0, 0, 0, 29, 40, 359
"c:\Users\Thunder Flash\Desktop\DualRepo\server\controllers\user.controller.js", "JavaScript", 0, 257, 0, 0, 0, 0, 0, 28, 19, 304
"c:\Users\Thunder Flash\Desktop\DualRepo\server\hooks\stripeWebHook.js", "JavaScript", 0, 227, 0, 0, 0, 0, 0, 25, 37, 289
"c:\Users\Thunder Flash\Desktop\DualRepo\server\middlewares\index.middleware.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 2, 2, 17
"c:\Users\Thunder Flash\Desktop\DualRepo\server\middlewares\modules\cookieParser.middleware.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 3, 7
"c:\Users\Thunder Flash\Desktop\DualRepo\server\middlewares\modules\cors.middleware.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 4, 7, 45
"c:\Users\Thunder Flash\Desktop\DualRepo\server\middlewares\modules\jsonParser.middleware.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 3, 7
"c:\Users\Thunder Flash\Desktop\DualRepo\server\middlewares\modules\morgan.middleware.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 3, 7
"c:\Users\Thunder Flash\Desktop\DualRepo\server\middlewares\modules\multerConfig.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Thunder Flash\Desktop\DualRepo\server\middlewares\modules\urlEncodedParser.middleware.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 3, 10
"c:\Users\Thunder Flash\Desktop\DualRepo\server\models\coupon.model.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Thunder Flash\Desktop\DualRepo\server\models\order.model.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 0, 3, 75
"c:\Users\Thunder Flash\Desktop\DualRepo\server\models\product.model.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 6, 5, 104
"c:\Users\Thunder Flash\Desktop\DualRepo\server\models\reservation.model.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\Thunder Flash\Desktop\DualRepo\server\models\user.model.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 7, 10, 75
"c:\Users\Thunder Flash\Desktop\DualRepo\server\package-lock.json", "JSON", 0, 0, 3562, 0, 0, 0, 0, 0, 1, 3563
"c:\Users\Thunder Flash\Desktop\DualRepo\server\package.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 0, 1, 37
"c:\Users\Thunder Flash\Desktop\DualRepo\server\routes\index.routes.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 1, 4, 28
"c:\Users\Thunder Flash\Desktop\DualRepo\server\routes\modules\auth.route.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Thunder Flash\Desktop\DualRepo\server\routes\modules\coupon.route.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\Thunder Flash\Desktop\DualRepo\server\routes\modules\export.route.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 2, 3, 10
"c:\Users\Thunder Flash\Desktop\DualRepo\server\routes\modules\googleAuth.route.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 5, 8, 34
"c:\Users\Thunder Flash\Desktop\DualRepo\server\routes\modules\history.route.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Thunder Flash\Desktop\DualRepo\server\routes\modules\order.route.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 4, 3, 24
"c:\Users\Thunder Flash\Desktop\DualRepo\server\routes\modules\product.route.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 2, 4, 22
"c:\Users\Thunder Flash\Desktop\DualRepo\server\routes\modules\reservation.route.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Thunder Flash\Desktop\DualRepo\server\routes\modules\search.route.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Thunder Flash\Desktop\DualRepo\server\routes\modules\stripe.routes.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Thunder Flash\Desktop\DualRepo\server\routes\modules\user.route.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 4, 6, 24
"c:\Users\Thunder Flash\Desktop\DualRepo\server\services\auth.js", "JavaScript", 0, 233, 0, 0, 0, 0, 0, 27, 33, 293
"c:\Users\Thunder Flash\Desktop\DualRepo\server\services\export.service.js", "JavaScript", 0, 177, 0, 0, 0, 0, 0, 62, 39, 278
"c:\Users\Thunder Flash\Desktop\DualRepo\server\services\googleAuth.js", "JavaScript", 0, 123, 0, 0, 0, 0, 0, 57, 24, 204
"c:\Users\Thunder Flash\Desktop\DualRepo\server\services\stripe.js", "JavaScript", 0, 122, 0, 0, 0, 0, 0, 15, 25, 162
"c:\Users\Thunder Flash\Desktop\DualRepo\server\utils\cleanUpReservation.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 7, 10, 78
"c:\Users\Thunder Flash\Desktop\DualRepo\server\utils\cleanUpUsers.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Users\Thunder Flash\Desktop\DualRepo\server\utils\sendOTP.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Thunder Flash\Desktop\DualRepo\server\utils\validateEnvironment.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 10, 13, 75
"c:\Users\Thunder Flash\Desktop\DualRepo\server\vercel.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"Total", "-", 13, 4239, 9303, 83, 305, 7030, 36, 896, 1291, 23196
